URI,streams,title,date,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,popularity,duration_min,tempo_norm
3K07bGe8iljQ3mOKArHLDo,10614598.0,Starting Over,2021-04-22,Chris Stapleton,"['contemporary country', 'outlaw country']",0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,4,0.73,4.006883333333334,0.2894738402956126
4gvrJnKCKIPiacNsWVQwEU,10607139.0,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,2021-11-11,CKay,['afro r&b'],0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,3,0.9,3.139483333333333,0.4720134757620152
08XWh5c0BMyD1nKVxxl91z,10603428.0,Fountains (with Tems),2021-09-20,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,4,0.75,3.2069666666666667,0.3542962888273359
4cG7HUWYHBV6R6tHn1gxrl,10593214.0,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,2021-07-24,"Riton, Nightcrawlers","['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,4,0.88,2.8192166666666667,0.4902816742685307
25leEEaz1gIpp7o21Fqyjo,10519220.0,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,2021-12-26,Gene Autry,"['adult standards', 'cowboy western', 'lounge', 'oklahoma country', 'traditional country', 'yodeling']",0.834,0.371,1,-11.99,1,0.0358,0.799,0.0,0.275,0.976,4,0.64,2.50445,0.3339818148387594
1yOL7ZiXGx5ULeLoktAUAg,10469310.0,Bubblegum Bitch,2021-05-28,MARINA,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,4,0.59,2.577783333333333,0.6981358133796761
7LAmsNJpBaNvNg7VZPXxSv,10379849.0,As the World Caves In,2021-07-27,Sarah Cothran,['gen z singer-songwriter'],0.372,0.255,7,-6.834,1,0.0344,0.436,0.0,0.33,0.254,1,0.16,2.69355,0.4394035551812288
62l3NSQPUxvcwwzKUmysrE,10370368.0,Bad Man (Smooth Criminal),2021-12-31,Polo G,['chicago rap'],0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,4,0.77,1.7666666666666666,0.4728082610217143
3SYLoL8KHxdQPYIkfwmUjN,10364234.0,Remote Control,2021-09-14,Kanye West,"['chicago rap', 'rap']",0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,4,0.31,3.310233333333333,0.4139170457713272
7faDzZnZYqTyYThx2sbHVQ,10363387.0,Mistletoe And Holly - Remastered 1999,2021-12-26,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",0.607,0.103,9,-14.405,1,0.0404,0.804,0.0,0.076,0.341,4,0.62,2.2737833333333333,0.415536272457132
7yq4Qj7cqayVTp3FF9CWbm,10335932.0,Riptide,2021-11-25,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']",0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,4,0.84,3.4046666666666665,0.3637921933107551
1H7KnK26kc1YyellpbINEn,10280250.0,The Woo (feat. 50 Cent & Roddy Ricch),2021-02-28,Pop Smoke,['brooklyn drill'],0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,4,0.8,3.36,0.3522025634790242
1nYzjrdVQ8RpF93M0jPFW7,10277179.0,Remember That Night?,2021-03-03,Sara Kays,"['alt z', 'gen z singer-songwriter', 'modern indie pop', 'pop']",0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,4,0.81,3.7864333333333335,0.4962010450833041
075qcpR3BnxD5CWUIx1HTr,10248656.0,This Bar,2021-02-13,Morgan Wallen,['contemporary country'],0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,4,0.72,3.088,0.4137331775396058
5RubKOuDoPn5Kj5TLVxSxY,10133127.0,TE MUDASTE,2021-04-24,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,4,0.86,2.1669,0.306680348044769
6uvMKqNlrSvcC4NaKnrwjZ,10103363.0,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",2021-06-07,"Tion Wayne, Russ Millions",['london rap'],0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,4,0.77,4.63475,0.5972811226638356
7MSYSOobsombc1mbDWFxtD,9972821.0,This Christmas,2021-12-26,Donny Hathaway,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'vocal jazz']",0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,4,0.48,3.852883333333333,0.3127420684582945
6OGogr19zPTM4BALXuMQpF,9951502.0,Take My Breath,2021-08-15,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,4,0.83,3.669933333333333,0.4785615573046103
5ScbulRnixQ2XAdvrPMFjz,9948750.0,Get Along Better,2021-09-18,"Drake, Ty Dolla $ign","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,3,0.71,3.821733333333333,0.8147972407902777
5BwQjRasNcdRPuVWKcHto2,9930823.0,h u n g e r . o n . h i l l s i d e (with Bas),2021-05-29,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.563,0.703,2,-5.756,1,0.0702,0.126,0.0,0.213,0.294,4,0.69,3.9828666666666654,0.3242249360909614
6EThJr4Dq1Y93JspecGU2F,9924222.0,Cigarette Daydreams,2021-04-07,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",0.638,0.668,2,-3.442,1,0.0259,0.0822,0.0,0.0815,0.299,4,0.02,3.479433333333333,0.4366929815716581
6IAZHEBUIGJ6NJKxxOBIEr,9910759.0,Rolling in the Deep,2021-11-25,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,4,0.47,3.80155,0.3833296757394764
1xMvdOFQaql3EBkHmuh2TK,9882856.0,Batman,2021-04-22,LPB Poody,['florida rap'],0.893,0.565,1,-4.74,1,0.268,0.0754,0.0,0.0375,0.808,4,0.72,2.6072,0.2413418822175695
3QIoEi8Enr9uHffwInGIsC,9806059.0,Please Come Home for Christmas - 2013 Remaster,2021-12-26,Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,3,0.67,2.957333333333333,0.8473419178049691
4LaGu95Ui2s4vprSQYWUAZ,9786813.0,Bout A Million (feat. 42 Dugg & 21 Savage),2021-08-18,Pop Smoke,['brooklyn drill'],0.716,0.67,0,-6.995,0,0.101,0.526,0.0,0.13,0.411,4,0.72,3.3931,0.6211424741546511
5W8HXMOMLtXLz0RGKUtnlZ,9746965.0,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",2021-10-28,Skylar Grey,['piano rock'],0.664,0.692,1,-4.128,0,0.127,0.237,0.0,0.0798,0.233,4,0.81,4.289483333333333,0.6797489902075339
4VYEnxm7lmtG5sEEbcmORB,9698824.0,Ok Ok,2021-09-13,Kanye West,"['chicago rap', 'rap']",0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,5,0.32,3.4105,0.4013131750484878
38GBNKZUhfBkk3oNlWzRYd,9698275.0,NDA,2021-08-25,Billie Eilish,"['art pop', 'electropop', 'pop']",0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,4,0.81,3.26295,0.2651083339758836
7MXVkk9YMctZqd1Srtv4MB,9681152.0,Starboy,2021-10-31,"The Weeknd, Daft Punk","['canadian contemporary r&b', 'canadian pop', 'pop']",0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,4,0.87,3.840883333333333,0.8640857893581811
34chhNX59Wo9HMFCsI3K8Y,9675467.0,Memory,2021-08-12,"Kane Brown, blackbear","['black americana', 'contemporary country']",0.434,0.889,9,-5.684,1,0.0509,0.395,0.0,0.273,0.845,5,0.78,2.555633333333333,0.4330215481705111
5mCPDVBb16L4XQwDdbRUpz,9669609.0,Passionfruit,2021-09-03,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,4,0.84,4.98235,0.4250381081738326
6sBWmE23q6xQHlnEZ8jYPT,9639695.0,Step Into Christmas,2021-12-25,Elton John,"['glam rock', 'mellow gold', 'piano rock']",0.526,0.925,2,-5.584,1,0.0363,0.102,8.9e-06,0.305,0.819,4,0.69,4.5399,0.5930580845675241
7L6G0wpIUiPXuvoo7qhb06,9638963.0,oops!,2021-02-20,Yung Gravy,"['meme rap', 'minnesota hip hop']",0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,4,0.73,2.329333333333333,0.543200137604612
4HEOgBHRCExyYVeTyrXsnL,9592590.0,Jingle Bells - Remastered 1999,2021-12-26,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",0.512,0.339,8,-13.119,1,0.0498,0.727,0.0,0.0977,0.951,4,0.64,2.01155,0.7965053173506369
4wVOKKEHUJxHCFFNUWDn0B,9522896.0,Chicago Freestyle (feat. Giveon),2021-03-25,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,4,0.82,3.6748,0.4900859435702466
2z0IupRlVRlDN5r2IVqHyN,9483173.0,Shy Away,2021-05-07,Twenty One Pilots,"['modern rock', 'rock']",0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,4,0.03,2.9174,0.335986571687851
1aF9TeHZbe6OVo9dtjPuzK,9416936.0,Junya,2021-09-11,Kanye West,"['chicago rap', 'rap']",0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,4,0.31,2.46115,0.6390963172972556
4u4NyuceXP7Uzh7XFJKCr1,9392026.0,Hold On,2021-03-18,Justin Bieber,"['canadian pop', 'pop']",0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,4,0.81,2.846883333333333,0.5911126400512459
3onYsG7nB3FwEVHYYWCrIM,9384503.0,No Child Left Behind,2021-09-14,Kanye West,"['chicago rap', 'rap']",0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,3,0.33,2.967683333333333,0.5638408294236621
1qzckO538IWjqa7eCQdSJ4,9364381.0,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,2021-03-21,BRS Kash,[],0.871,0.49,4,-8.087,0,0.287,0.0111,0.0,0.167,0.392,4,0.58,3.5268333333333333,0.5437576735330578
0jA4h2SD50Oak4C3Vn905a,9272715.0,Not Allowed,2021-12-31,TV Girl,['indie pop'],0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,4,0.84,2.7977333333333334,0.3834305067052592
03B2SfXuvDh1m9F4tqrX07,9235243.0,Skin,2021-02-18,Sabrina Carpenter,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",0.557,0.457,7,-5.372,1,0.0335,0.428,0.0,0.0567,0.328,4,0.77,2.958333333333333,0.3890829720223726
3z6XUommYDWPHeFhmhhT6j,9191385.0,Message In A Bottle (Taylor's Version) (From The Vault),2021-11-30,Taylor Swift,['pop'],0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,4,0.81,3.766,0.4483775111358905
3kOi5KZTcCOdqFlUjF9CDZ,9181860.0,Neon Eyes,2021-02-05,Morgan Wallen,['contemporary country'],0.576,0.843,11,-5.26,0,0.029,0.0214,8.04e-05,0.157,0.628,4,0.69,3.769116666666666,0.508247379877698
2ncLdwTd8qzkxiJjlbiOgC,9178154.0,Mr. Rager,2021-12-31,Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",0.675,0.734,7,-8.659,1,0.0265,0.38,0.895,0.141,0.533,4,0.77,4.90355,0.3658325375595347
3EG9FJ0ToLfgnc1IG2Z1wz,9172142.0,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),2021-07-15,"Tyler, The Creator","['hip hop', 'rap']",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,4,0.78,9.802316666666666,0.5925539297386107
4zbr7Cp3UB00FurUovPU03,9148133.0,Matt Hardy 999 (feat. Juice WRLD),2021-09-06,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.672,0.654,1,-4.528,1,0.0966,0.201,0.0,0.1,0.404,4,0.2,3.133766666666667,0.226531592714073
7zjEyeBsaw9gV0jofJLfOM,9142435.0,Livin It Up (with Post Malone & A$AP Rocky),2021-11-12,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",0.767,0.313,7,-12.059,1,0.0798,0.838,0.0,0.105,0.765,4,0.8,3.5151166666666667,0.2506717121691112
10hcDov7xmcRviA8jLwEaI,9122489.0,Need To Know,2021-06-24,Doja Cat,"['dance pop', 'pop']",0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,4,0.77,3.509333333333333,0.5321621124680455
1dPNJDYuW9QAtkOpK3eBvO,9092969.0,God Breathed,2021-09-09,Kanye West,"['chicago rap', 'rap']",0.325,0.311,10,-7.481,1,0.0442,0.289,6.74e-05,0.11,0.0789,3,0.3,5.5577,0.3109449047740497
6pYNq0ZwpPVazKzsqpf0G8,9079618.0,The Very First Night (Taylor's Version) (From The Vault),2021-11-30,Taylor Swift,['pop'],0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,4,0.78,3.338,0.478591213471017
2gyYjQWXKxemhAyMPgctIx,9052827.0,i n t e r l u d e,2021-05-13,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.604,0.668,1,-3.525,1,0.115,0.11,0.0,0.407,0.114,3,0.02,2.1902166666666667,0.3590472066856862
18ddJHQ7CUzNBiy55L0Xjj,9047688.0,WFM,2021-11-07,Realestk,[],0.437,0.184,1,-17.667,1,0.0313,0.72,0.00253,0.113,0.247,4,0.51,2.2666666666666666,0.2358792163654588
6OcCk1dbAb7XNHsC098oEM,9009982.0,I Quit Drinking,2021-08-05,"Kelsea Ballerini, LANY","['contemporary country', 'country', 'pop']",0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,4,0.78,2.853333333333333,0.3243376295233067
4rPkN1FMzQyFNP9cLUGIIB,9000803.0,Love Again,2021-10-07,Dua Lipa,"['dance pop', 'pop', 'uk pop']",0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,4,0.8,4.300066666666667,0.44877490376574
2Igem6Q4sfvXGJ3JkG7Baw,8990783.0,Modern Day,2021-07-13,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",0.87,0.629,11,-7.598,0,0.279,0.173,0.0,0.101,0.512,4,0.67,4.029833333333333,0.5612429492464368
7DBFslKWQzoRgO0HBBkL3u,8976432.0,24,2021-09-10,Kanye West,"['chicago rap', 'rap']",0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,4,0.31,3.2983,0.4136323465738231
6Tof6kPUc2a17GKaKz4IXz,8921902.0,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",2021-12-26,Thurl Ravenscroft,[],0.478,0.475,7,-10.901,1,0.28,0.946,0.00372,0.133,0.437,4,0.49,5.262216666666666,0.2899246140249942
6ZuahEctZD6w75peme58hm,8912748.0,Wonder,2021-02-04,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,4,0.76,2.878216666666667,0.5898908059952906
3JJL91ilRV6fXhKqu0FGXs,8886571.0,HOT WIND BLOWS (feat. Lil Wayne),2021-07-12,"Tyler, The Creator","['hip hop', 'rap']",0.371,0.75,7,-5.382,0,0.402,0.601,0.0,0.482,0.729,4,0.73,2.588216666666667,0.7896666053772562
7DF8lvLdV3htIbuTWpc7lR,8876226.0,Girl Of My Dreams (with SUGA of BTS),2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.603,0.771,9,-6.336,1,0.0627,0.194,0.0,0.13,0.332,4,0.79,3.76915,0.5911600899174966
3jT2LKH0RSbQ8jIUNFzXm5,8846191.0,PTSD,2021-03-09,"G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper","['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",0.883,0.808,1,-3.158,0,0.183,0.0317,0.0,0.207,0.805,4,0.05,3.86775,0.4667465406081886
0v36cov6Z6aEV5ZgIlqZMk,8818522.0,Rockstar In His Prime,2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.685,0.729,7,-8.694,0,0.15,0.415,0.0,0.196,0.382,4,0.74,3.0125,0.7693165439889917
3FxPbp05KjMBa4HbhAJTH0,8806506.0,SugarCrash!,2021-03-15,ElyOtto,['weirdcore'],0.745,0.74,0,-6.558,1,0.097,0.53,7.37e-05,0.0936,0.36,4,0.05,1.3353,0.3405476900811985
0YrKSfpvflYnLSBd4Jtu6J,8803247.0,Time Today,2021-06-19,Moneybagg Yo,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.912,0.608,1,-7.686,1,0.397,0.0458,0.0,0.248,0.327,4,0.76,2.2816666666666667,0.573401977473176
0LThjFY2iTtNdd4wviwVV2,8779713.0,Permission to Dance,2021-07-22,BTS,"['k-pop', 'k-pop boy group']",0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,4,0.61,3.1264166666666666,0.5018179230007296
5rW7qTn83sCKtqBoneJs63,8772357.0,edamame (feat. Rich Brian),2021-11-14,bbno$,"['canadian hip hop', 'dark trap', 'vapor trap']",0.815,0.849,4,-4.704,0,0.114,0.0229,0.000176,0.026,0.685,4,0.76,2.22845,0.3897769263162889
6UjeFOCGYgMpBUtqKg1Je3,8768690.0,Alien Blues,2021-12-26,Vundabar,"['boston indie', 'indie garage rock']",0.464,0.682,10,-8.541,1,0.033,0.0768,0.832,0.0856,0.455,4,0.64,2.60095,0.2357250043001441
6YvqWjhGD8mB5QXcbcUKtx,8758444.0,Love Story (TaylorÃ¢ÂÂs Version),2021-04-29,Taylor Swift,['pop'],0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,4,0.76,3.92945,0.4669956524060048
5R4Yrc2j4jw1itr4hKcN26,8672620.0,Feline (with Polo G & Trippie Redd),2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.575,0.619,0,-6.663,1,0.322,0.0208,0.0,0.103,0.296,5,0.75,3.5367333333333333,0.4139407707044525
1EHUQesfVKwbthtNcpBi9g,8671496.0,WITHOUT YOU (with Miley Cyrus),2021-05-20,The Kid LAROI,['australian hip hop'],0.655,0.469,0,-6.257,1,0.0292,0.173,0.0,0.0956,0.467,4,0.79,2.68975,0.3098535578502838
137mSruegm1u6x9NvwiagR,8632317.0,Unstable (feat. The Kid LAROI),2021-04-07,Justin Bieber,"['canadian pop', 'pop']",0.495,0.333,4,-10.109,0,0.0288,0.737,0.0,0.112,0.37,4,0.75,2.638733333333333,0.3525406437760603
64EA2RKyciBwCuVczLH6Ct,8591058.0,masquerade,2021-11-10,Siouxxie,"['glitchcore', 'sped up']",0.608,0.792,9,-5.721,1,0.0355,0.000674,0.653,0.252,0.611,4,0.57,2.408933333333333,0.7164040118861916
3ggtU1ZOKO8ZNiqPNyXGcm,8579709.0,Dinero,2021-07-15,Trinidad Cardona,[],0.708,0.782,2,-4.687,1,0.0674,0.00772,0.0,0.107,0.484,4,0.79,2.6813333333333333,0.4725888053903048
3T03rPwlL8NVk1yIaxeD8U,8570847.0,Off My Face,2021-04-08,Justin Bieber,"['canadian pop', 'pop']",0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,4,0.79,2.6078,0.2986672518816838
21AJQhGZpujjZQXByZAXpr,8473757.0,REPEAT IT (with Gunna),2021-08-26,Lil Tecca,"['melodic rap', 'pluggnb', 'rap', 'trap']",0.681,0.687,9,-7.612,1,0.332,0.0555,0.0,0.062,0.588,3,0.77,3.172416666666667,0.4052337202474511
4YiY551vHi6glMtgVxuqAy,8464233.0,c l o s e,2021-05-27,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.582,0.912,9,-5.637,1,0.432,0.32,0.0,0.0931,0.515,4,0.65,2.8127166666666668,0.2823978789909785
5NhcE6cuJjVYyVEKp97zOt,8444957.0,More Surprised Than Me,2021-02-04,Morgan Wallen,['contemporary country'],0.516,0.748,6,-6.049,1,0.0289,0.241,0.0,0.123,0.433,4,0.67,2.624,0.2650371591765076
60PAzFNW3vAiAiVK6DRJfB,8442178.0,Day 'N' Nite (Nightmare),2021-04-08,Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",0.88,0.443,11,-6.359,0,0.0653,0.462,7.13e-06,0.122,0.803,4,0.76,3.687333333333333,0.5794755603532643
3RkNXZvOSMMElmmXztDc94,8337639.0,F*****g Fans,2021-09-16,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.783,0.416,4,-9.84,0,0.135,0.213,0.0,0.103,0.165,4,0.7,4.085516666666667,0.2773088808355921
2Ty7EDf9XLYzEUqEIwJfDC,8331766.0,Twerkulator,2021-06-23,City Girls,"['dance pop', 'pop', 'pop rap', 'r&b', 'scam rap', 'trap queen']",0.895,0.469,1,-5.882,1,0.0661,0.0012,4.56e-05,0.192,0.076,4,0.7,2.3090333333333333,0.5136329396971513
3hRV0jL3vUpRrcy398teAU,8276209.0,The Night We Met,2021-11-10,Lord Huron,"['indie folk', 'stomp and holler']",0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,3,0.84,3.4702,0.276935213138868
43zdsphuZLzwA9k4DJhU0I,8237519.0,when the party's over,2021-05-06,Billie Eilish,"['art pop', 'electropop', 'pop']",0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,4,0.84,3.26795,0.2510275861659914
17vGPZ5EsdvtgAOCD4FLWI,8190773.0,AP - Music from the film Boogie,2021-03-25,Pop Smoke,['brooklyn drill'],0.751,0.744,1,-6.859,1,0.177,0.152,0.000568,0.252,0.634,4,0.74,2.8648666666666665,0.6387641682335009
6iBlllot0wdy8f7V5t8OnR,8190549.0,Miss The Rage (feat. Playboi Carti),2021-09-06,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,4,0.14,3.94805,0.2175991553923807
08F16baYbciTva9P4BvpiI,8175614.0,MAFIA,2021-11-23,Travis Scott,"['rap', 'slap house']",0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71e-06,0.111,0.385,4,0.8,4.0,0.4131459854447535
6lzc0Al0zfZOIFsFvBS1ki,8173977.0,State Of Grace (Taylor's Version),2021-11-29,Taylor Swift,['pop'],0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,4,0.75,4.92355,0.5316698201056946
6cQ08IpBxxfGcSKxqE3NmB,8169116.0,Headshot (feat. Polo G & Fivio Foreign),2021-04-01,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",0.809,0.638,1,-7.268,0,0.257,0.0758,0.0,0.15,0.392,4,0.03,2.4058166666666665,0.4606373703284124
1HsOTiVqdN7PB1zOS2bcsO,8105765.0,Matt Hardy 999 (feat. Juice WRLD),2021-10-14,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.672,0.654,1,-4.528,1,0.0966,0.201,0.0,0.1,0.404,4,0.74,3.133766666666667,0.226531592714073
0awuNCj9gwJEM0seER22DW,8066568.0,CHICKEN TENDIES,2021-03-25,Clinton Kane,"['alt z', 'gen z singer-songwriter', 'pop']",0.57,0.689,7,-6.242,1,0.147,0.358,0.0,0.0819,0.568,4,0.79,3.280733333333333,0.3544979507589013
0G2zPzWqVjR68iNPmx2TBe,8043621.0,Volando - Remix,2021-08-08,"Mora, Bad Bunny, Sech","['reggaeton', 'trap latino']",0.659,0.688,6,-4.649,1,0.0673,0.207,0.0,0.113,0.632,4,0.9,4.5579,0.6741439747566713
5KQxun2WxwDMsV7HCN2ONK,8035604.0,Rich MF (feat. Polo G & Lil Durk),2021-09-06,Trippie Redd,"['melodic rap', 'rap', 'trap']",0.756,0.698,6,-5.464,1,0.178,0.0849,0.0,0.221,0.66,4,0.22,4.128566666666667,0.2205113909335168
13CVSGLSFl4UxpDVR6u3dq,8021574.0,Strangers By Nature,2021-11-30,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,5,0.76,3.03605,0.1642061933937924
6AtZLIzUINvExIUy4QhdjP,7977703.0,I Knew You Were Trouble (Taylor's Version),2021-11-29,Taylor Swift,['pop'],0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,4,0.77,3.6626666666666665,0.67431598052183
1sbEeUY8KsdvgiQi26JBFz,7888266.0,POPSTAR (feat. Drake),2021-06-05,DJ Khaled,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.803,0.565,5,-4.711,0,0.235,0.0558,0.0,0.141,0.474,4,0.71,3.3370166666666665,0.7281537850165185
46oHvXwpEZOFX518we1nJD,7880542.0,CORSO,2021-07-10,"Tyler, The Creator","['hip hop', 'rap']",0.703,0.845,10,-4.851,0,0.337,0.169,0.0,0.122,0.745,4,0.73,2.4413666666666667,0.3401740223844744
4IQkfUsrwXol38VV3U7t7T,7869420.0,Run (feat. Ed Sheeran) (TaylorÃ¢ÂÂs Version) (From The Vault),2021-11-24,Taylor Swift,['pop'],0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,4,0.79,4.003783333333334,0.5024940835948019
25r6MZ4Gtd76l43qnZI1DG,7797301.0,Flocky Flocky (feat. Travis Scott),2021-10-30,Don Toliver,"['pop', 'rap', 'trap']",0.8,0.541,10,-5.05,0,0.0375,0.0252,0.0,0.146,0.194,4,0.76,3.0585666666666667,0.5674470192587145
7zQirOExB0VR8yWUOqYeio,7797163.0,DOLLA SIGN SLIME (feat. Megan Thee Stallion),2021-10-02,Lil Nas X,"['lgbtq+ hip hop', 'pop']",0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,4,0.74,2.4179166666666667,0.5555904839293235
2sQH02O2HBCPJCztBrCWNa,7797130.0,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",2021-03-20,Ariana Grande,"['dance pop', 'pop']",0.659,0.662,5,-5.768,1,0.434,0.211,0.0,0.228,0.704,4,0.72,3.040633333333333,0.4130392232456894
